gX,gZ,gY,aX,aZ,aY,p1,p2,p3
-311.48,237.16,279.87,-0.67,-0.07,0.60,498,1942,1842
-326.58,229.42,259.35,-0.79,-0.05,0.50,501,1948,1844
-362.69,173.88,145.91,-1.08,-0.11,0.14,498,1943,1862
-360.34,155.72,111.53,-0.91,0.00,-0.05,498,1942,1874
-350.59,139.24,82.08,-0.83,0.17,-0.22,498,1939,1861
-343.83,124.01,53.42,-0.62,0.24,-0.25,497,1941,1865
-341.19,106.46,28.43,-0.64,0.23,-0.15,496,1941,1867
-338.56,87.04,-6.70,-0.65,0.25,-0.15,496,1942,1872
-309.88,29.02,-101.48,-0.08,0.48,0.02,464,1941,1879
-308.20,18.35,-124.65,-0.05,0.41,0.19,474,1942,1875
-304.09,6.91,-145.19,0.11,0.47,0.18,469,1941,1877
-302.05,1.92,-168.91,0.20,0.44,0.11,468,1941,1882
-299.28,-3.22,-184.24,0.51,0.52,0.18,467,1942,1883
-295.05,-8.11,-191.45,0.67,0.49,0.03,465,1942,1885
-260.41,-54.44,-198.56,1.17,0.70,0.15,454,1942,1897
-254.09,-65.18,-191.97,1.33,0.79,0.10,455,1942,1899
-249.57,-76.66,-182.24,1.46,0.84,0.21,453,1944,1903
-250.66,-82.28,-177.31,1.31,0.83,0.23,447,1941,1905
-250.89,-81.91,-177.23,1.18,0.78,0.14,448,1941,1907
-249.59,-88.95,-175.92,1.30,0.84,0.26,447,1942,1906
-243.74,-116.28,-154.75,1.22,1.03,0.15,446,1941,1909
-241.82,-121.13,-144.62,1.19,1.04,0.09,446,1942,1908
-239.07,-125.88,-135.11,1.15,1.04,0.01,442,1942,1908
-233.88,-131.54,-124.20,1.16,1.07,-0.09,446,1937,1911
-226.75,-135.99,-111.05,1.13,1.08,-0.16,447,1962,1911
-167.36,-144.38,-111.98,0.43,1.28,-0.49,446,1941,1909
-152.47,-144.98,-128.32,0.37,1.27,-0.62,446,1943,1911
-197.25,-36.69,-97.40,-0.37,0.55,1.13,578,1691,1263
-213.88,-41.65,-101.45,-0.41,0.37,1.17,582,1694,1259
-228.52,-46.58,-107.55,-0.41,0.42,1.08,579,1696,1258
-245.68,-53.21,-120.79,-0.49,0.39,1.12,581,1692,1253
-265.94,-62.38,-129.97,-0.36,0.37,1.16,580,1691,1257
-284.20,-71.38,-129.91,-0.23,0.36,1.07,582,1689,1254
-303.80,-97.22,-145.71,-0.63,0.27,0.50,582,1695,1255
-307.79,-107.12,-174.88,-0.26,0.25,0.32,585,1698,1254
-301.31,-112.90,-199.43,-0.46,0.16,0.01,583,1692,1253
-305.05,-113.01,-211.26,0.54,0.74,0.27,582,1691,1255
-324.56,-112.05,-202.52,-0.13,0.43,0.40,585,1697,1259
-259.62,-108.98,-194.64,-0.10,1.28,-1.61,578,1697,1257
-363.62,-99.96,-154.44,1.11,-0.47,2.00,576,1695,1262
-335.62,-106.67,-202.46,-0.67,0.59,-0.11,576,1696,1267
