gX,gZ,gY,aX,aZ,aY,p1,p2,p3
-503.12,-47.37,-49.94,0.27,-0.60,0.71,959,1548,346
-503.12,-34.28,-126.79,0.83,-0.70,0.73,967,1473,347
-503.12,-27.27,-171.80,-1.15,-1.21,1.77,974,1461,349
-503.12,-23.09,-168.18,-0.06,-1.20,0.56,990,1451,350
-503.12,-2.69,-171.49,-0.10,-1.81,-0.89,999,1452,352
-503.12,20.74,-157.11,-0.32,-1.77,-0.56,1017,1450,351
-503.12,19.87,-169.52,-0.05,-1.17,-0.70,1036,1453,351
-503.12,36.15,-222.26,-0.15,-0.57,-2.01,1079,1451,351
-503.12,47.78,-205.68,-0.12,-0.31,-2.01,1083,1451,351
-503.12,64.66,-171.25,0.49,0.30,-2.01,1087,1453,350
-503.12,82.73,-180.12,0.15,0.35,-2.01,1086,1456,350
-500.20,92.53,-150.91,0.93,0.90,-2.01,1088,1456,349
-172.80,73.47,-25.74,0.71,1.76,-2.01,1088,1455,352
-111.82,69.44,8.71,0.97,1.86,-2.01,1086,1455,350
-63.61,68.73,34.06,1.04,1.58,-2.01,1086,1454,351
-14.98,65.47,66.51,0.94,1.60,-2.01,1087,1453,351
23.51,54.63,73.38,0.62,1.39,-2.01,1077,1453,346
48.50,44.36,68.05,0.49,1.27,-1.78,1083,1456,353
64.78,32.27,47.99,0.35,1.21,-1.45,1083,1456,346
89.91,-9.56,7.87,0.46,1.34,-0.97,1086,1456,348
87.19,-14.24,-16.07,-0.07,1.16,-0.87,1084,1453,346
81.30,-19.89,-33.20,0.12,1.23,-0.79,1088,1454,348
71.63,-26.27,-41.98,0.06,1.11,-0.63,1086,1454,349
63.42,-31.00,-58.01,0.02,1.21,-0.61,1083,1455,349
57.80,-32.40,-63.87,0.08,1.25,-0.69,1086,1454,350
45.25,-31.84,-97.71,0.68,1.29,-0.84,1088,1454,349
47.98,-30.60,-90.27,0.59,1.18,-0.84,1088,1455,349
52.58,-28.83,-83.89,0.82,1.29,-0.93,1087,1455,350
59.45,-26.89,-63.71,0.89,1.26,-0.89,1087,1456,346
65.94,-23.46,-51.02,0.94,1.29,-0.95,1088,1459,349
71.04,-17.08,-42.59,0.87,1.31,-0.90,1085,1458,349
90.79,6.91,7.44,1.00,1.44,-0.75,1085,1439,349
93.42,9.96,24.29,0.97,1.42,-0.69,1087,1462,351
94.23,11.47,35.74,0.85,1.36,-0.62,1081,1463,345
94.12,12.95,43.13,0.68,1.26,-0.57,1072,1467,349
96.65,14.15,47.61,0.60,1.13,-0.56,1088,1466,352
102.56,16.97,53.82,0.62,1.04,-0.66,1088,1467,349
104.94,19.50,61.65,0.56,1.02,-0.55,1087,1466,350
66.41,15.73,65.06,0.25,0.99,-0.42,1087,1474,349
63.77,15.49,55.35,0.15,0.94,-0.44,1083,1471,346
60.53,14.15,47.32,0.14,0.87,-0.45,1088,1472,347
56.81,12.97,47.44,0.28,0.90,-0.40,1076,1472,349
51.14,10.36,48.55,0.23,0.90,-0.39,1088,1472,347
48.06,8.92,44.22,0.19,0.90,-0.43,1085,1471,348
-11.99,-21.66,-35.06,0.02,0.85,0.39,1165,1782,1076
-13.32,-24.07,-38.19,-0.08,0.76,0.46,1166,1783,1074
-20.06,-26.69,-48.59,0.01,0.89,0.48,1164,1787,1074
-23.28,-24.50,-46.84,0.10,0.88,0.36,1165,1795,1078
-24.06,-27.41,-53.11,-0.03,0.79,0.46,1164,1810,1074
-30.60,-29.05,-62.53,-0.11,0.67,0.65,1167,1805,1074
-15.87,-9.41,-44.53,0.21,0.99,0.29,1165,1798,1078
-12.89,-6.85,-33.22,0.19,1.04,0.43,1167,1823,1078
-15.76,-8.82,-33.97,0.00,0.83,0.47,1162,1824,1093
-20.48,-2.48,-42.16,0.11,1.01,1.53,1165,1831,1105
